Gene,Sample
LACC1,BD160
LACC1,BD162
LACC1,BD163
LACC1,BD48
LACC1,BD50
LACC1,BD54
LACC1,BD61
LACC1,BD9
LACC1,BG1
LACC1,E7
LIG1,BD120
LIG1,BD126
LIG1,BD127
LIG1,BD139
LIG1,BD162
LIG1,BD61
LIG1,BD9
LIG1,BG1
MAO,BD117
MAO,BD120
MAO,BD126
MAO,BD139
MAO,BD162
MAO,BD61
MAO,BD9
MAO,BG1
MPG,BD117
MPG,BD120
MPG,BD126
MPG,BD127
MPG,BD158
MPG,BD162
MPG,BD163
MPG,BD48
MPG,BD54
MPG,BD9
MPG,BG1
MPG,E7
NDUFS8,BD61
NDUFV2,BD61
NIT2,BD120
NIT2,BD126
NIT2,BD132
NIT2,BD158
NIT2,BD160
NIT2,BD162
NIT2,BD163
NIT2,BD50
NIT2,BD9
NIT2,BG1
NQO1,BD127
NQO1,BD132
NQO1,BD139
NQO1,BD158
NQO1,BD160
NQO1,BD162
NQO1,BD48
NQO1,BD50
NQO1,BD54
NQO1,BD9
NQO1,BG1
NQO1,E7
OXCT,BD158
OXCT,BD163
OXCT,BD48
OXCT,BD54
OXCT,E7
PATG,BD139
PDC,BD48
PDC,BD54
PDC,E7
PGD,BD117
PGD,BD120
PGD,BD126
PGD,BD132
PGD,BD139
PGD,BD158
PGD,BD160
PGD,BD162
PGD,BD163
PGD,BD50
PGD,BD61
PGD,BD9
PGD,BG1
PGK,BD117
PGK,BD120
PGK,BD126
PGK,BD127
PGK,BD132
PGK,BD139
PGK,BD158
PGK,BD160
PGK,BD162
PGK,BD163
PGK,BD48
PGK,BD50
PGK,BD54
PGK,BD61
PGK,BD9
PGK,BG1
PGK,E7
PIR,BD127
PIR,BD139
PIR,BD158
PIR,BD48
PIR,BD54
PIR,BD61
PIR,E7
PPOX,BD117
PPOX,BD120
PPOX,BD126
PPOX,BD132
PPOX,BD139
PPOX,BD158
PPOX,BD160
PPOX,BD162
PPOX,BD163
PPOX,BD50
PPOX,BD9
PPOX,BG1
PRDX2_4,BD117
PRDX2_4,BD120
PRDX2_4,BD126
PRDX2_4,BD127
PRDX2_4,BD139
PRDX2_4,BD158
PRDX2_4,BD162
PRDX2_4,BD48
PRDX2_4,BD54
PRDX2_4,BD61
PRDX2_4,BD9
PRDX2_4,BG1
PRDX2_4,E7
PREP,BD158
PREP,BD61
PYG,BD120
PYG,BD126
PYG,BD158
PYG,BD163
SOD2,BD117
SOD2,BD120
SOD2,BD126
SOD2,BD127
SOD2,BD132
SOD2,BD139
SOD2,BD158
SOD2,BD160
SOD2,BD162
SOD2,BD163
SOD2,BD48
SOD2,BD50
SOD2,BD54
SOD2,BD61
SOD2,BD9
SOD2,BG1
SOD2,E7
SORD,BD120
SORD,BD126
SORD,BD132
SORD,BD139
SORD,BD158
SORD,BD160
SORD,BD162
SORD,BD163
SORD,BD50
SORD,BD61
SORD,BD9
SORD,BG1
TPMT,BD127
TPMT,BD158
TST,BD117
TST,BD127
TST,BD139
TST,BD158
TST,BD163
TST,BD48
TST,BD54
TST,BD61
TST,E7
TYR,BD163
UPB1,BD139
Xyn,BD120
Xyn,BD126
Xyn,BD132
Xyn,BD139
Xyn,BD160
Xyn,BD162
Xyn,BD50
Xyn,BD9
Xyn,BG1
aauA,BD127
aauB,BD127
abcA,BD120
abcA,BD126
abcA,BD139
abcA,BD162
abcA,BD163
abcA,BD9
abcA,BG1
accA,BD120
accA,BD126
accA,BD127
accA,BD132
accA,BD139
accA,BD158
accA,BD160
accA,BD162
accA,BD163
accA,BD48
accA,BD50
accA,BD54
accA,BD61
accA,BD9
accA,BG1
accA,E7
accC,BD120
accC,BD126
accC,BD127
accC,BD132
accC,BD139
accC,BD158
accC,BD160
accC,BD162
accC,BD163
accC,BD48
accC,BD50
accC,BD54
accC,BD61
accC,BD9
accC,BG1
accC,E7
accD,BD120
accD,BD126
accD,BD127
accD,BD132
accD,BD139
accD,BD158
accD,BD160
accD,BD162
accD,BD163
accD,BD48
accD,BD50
accD,BD54
accD,BD61
accD,BD9
accD,BG1
accD,E7
ada,BD117
ada,BD120
ada,BD126
ada,BD127
ada,BD132
ada,BD139
ada,BD160
ada,BD162
ada,BD48
ada,BD50
ada,BD54
ada,BD61
ada,BD9
ada,BG1
ada,E7
ada-alkA,BD120
