sample,taxon,source_label,dcpip_available,annotated_in_biorempp,annotated_in_ko_subset,metal_authority,metal_group_from_image,raw_uc81_metal,raw_uc81_metal_groups,unique_ko_count,PL1_mean,PL2_mean,PP1_mean,PP2_mean,PL_mean,PP_mean,overall_mean,dcpip_missing_values,Aliphatic_compounds_covered,Aliphatic_compound_coverage_pct,Aliphatic_kos_covered,Aliphatic_ko_completeness_pct,Polyaromatic_compounds_covered,Polyaromatic_compound_coverage_pct,Polyaromatic_kos_covered,Polyaromatic_ko_completeness_pct,biorempp_reference_count,enzyme_activity_count,hadeg_ko_count,hadeg_pathway_count,hadeg_compound_pathway_count,kegg_ko_count,kegg_pathname_count,tox_unique_compounds,tox_high_toxicity_compounds,tox_high_toxicity_endpoint_hits
BD143,Bacillus stratosphericus,BD143 - Bacillus stratosphericus,True,True,True,False,,True,Group 18,1923,55.086667,71.206667,47.113333,80.543333,63.146667,63.828333,63.4875,0,41,69.491525,51,33.333333,23,52.272727,33,39.759036,9,66,40,39,5,25,12,131,130,469
BD145,Tistrella,BD145 - Tistrella,True,True,True,False,,True,Group 19,2042,42.106667,66.24,31.82,79.986667,54.173333,55.903333,55.038333,0,43,72.881356,71,46.405229,29,65.909091,34,40.963855,9,83,77,54,5,66,19,140,139,509
BD147,Cellulomonas,BD147 - Cellulomonas,True,True,True,False,,False,,642,64.133333,78.86,54.833333,71.25,71.496667,63.041667,67.269167,0,17,28.813559,16,10.457516,4,9.090909,9,10.843373,9,31,7,13,3,8,10,45,44,134
BD149,Bacillus stratosphericus,BD149 - Bacillus stratosphericus,True,True,True,False,,True,Group 18,1923,76.26,86.47,54.27,90.536667,81.365,72.403333,76.884167,0,41,69.491525,51,33.333333,23,52.272727,33,39.759036,9,66,40,39,5,25,12,131,130,469
BD151,Bacillus,BD151 - Bacillus,True,True,True,False,,False,,1795,76.703333,80.173333,74.23,59.956667,78.438333,67.093333,72.765833,0,25,42.372881,45,29.411765,23,52.272727,35,42.168675,9,70,40,35,5,21,14,108,107,393
BD152,Bacillus,BD152 - Bacillus,True,True,True,False,,False,,1795,77.563333,80.173333,74.23,59.956667,78.868333,67.093333,72.980833,0,25,42.372881,45,29.411765,23,52.272727,35,42.168675,9,70,40,35,5,21,14,108,107,393
BD158,Salinicola,BD158 - Salinicola,True,True,True,True,Metal_Group_1,False,,2174,51.666667,82.183333,38.897667,78.176667,66.925,58.537167,62.731083,0,30,50.847458,58,37.908497,21,47.727273,31,37.349398,9,75,61,47,5,53,18,108,107,372
BD160,Bacillus stratosphericus,BD160 - Bacillus stratosphericus,True,True,True,True,Metal_Group_4,True,Group 18,1923,78.01,80.016667,63.303333,87.873333,79.013333,75.588333,77.300833,0,41,69.491525,51,33.333333,23,52.272727,33,39.759036,9,66,40,39,5,25,12,131,130,469
BD161,Rossellomorea,BD161 - Rossellomorea,True,True,True,False,,False,,1883,20.96,44.37,27.54,67.603333,32.665,47.571667,40.118333,2,38,64.40678,50,32.679739,28,63.636364,34,40.963855,9,69,40,34,5,23,13,134,133,492
BD162,Bacillus safensis,BD162 - Bacillus safensis,True,True,True,True,Metal_Group_4,False,,2063,54.783333,72.203333,72.53,76.45,63.493333,74.49,68.991667,0,30,50.847458,53,34.640523,26,59.090909,34,40.963855,9,74,54,43,5,30,15,129,128,475
