target_class,model_version,compound_name,covered_by_selected,covering_selected_samples
Aliphatic,strict_metal,Methyl chloride,True,BD127;BD163;E7
Aliphatic,strict_metal,Methyl isobutyl ketone,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Methyl tert-butyl ether,True,BD117;BD163;E7
Aliphatic,strict_metal,Methylnitrosourea,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,"N,N-Dimethylformamide",False,
Aliphatic,strict_metal,N-Nitrosomorpholine,False,
Aliphatic,strict_metal,Propylthiouracil,True,BD163
Aliphatic,strict_metal,Streptozocin,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Thioacetamide,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Thiouracil,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Trichloroethene,True,BD127;BD163;E7
Aliphatic,strict_metal,Vinyl acetate,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Vinyl fluoride,True,BD127
Aliphatic,strict_metal,alpha-Chlorohydrin,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,alpha-Hexachlorocyclohexane,True,BD127;BD163
Aliphatic,strict_metal,"beta-1,2,3,4,5,6-Hexachlorocyclohexane",True,BD127;BD163
Aliphatic,strict_metal,beta-Butyrolactone,True,BD127
Aliphatic,strict_metal,"cis-1,3-Dichloropropene",True,BD127;BD163
Aliphatic,strict_metal,"trans-1,3-Dichloropropene",True,BD127;BD163
Aliphatic,relaxed,"1,1,1-Trichloroethane",True,E7
Aliphatic,relaxed,"1,1,2,2-Tetrachloroethane",True,BD163;CB13;E7
Aliphatic,relaxed,"1,1,2-Trichloroethane",True,BD127;BD145;BD163
Aliphatic,relaxed,"1,1-Dimethylhydrazine",True,BD145;BD67;CB13;E7
Aliphatic,relaxed,"1,2,3-Trichloropropane",True,BD127;BD145;BD163
Aliphatic,relaxed,"1,2-Dichloroethane",True,BD127;BD145;BD163
Aliphatic,relaxed,"1,2-Epoxybutane",True,E7
Aliphatic,relaxed,"1,3-Dichloro-2-propanol",True,BD127;BD163;CB13
Aliphatic,relaxed,"1,4-Dioxane",True,BD117;BD127;BD163;BD67;CB13;E7
Aliphatic,relaxed,"2,4-Hexadienal",True,CB13
Aliphatic,relaxed,2-Ethoxyethanol,True,BD117;BD127;BD163;BD67;CB13;E7
Aliphatic,relaxed,2-Nitropropane,True,BD117;BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,"3-Carboxy-cis,cis-muconate",True,BD127;BD145;E7
Aliphatic,relaxed,3-Chloro-2-methylpropene,True,BD127;BD145;BD163
Aliphatic,relaxed,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,True,BD163
Aliphatic,relaxed,4-Methylimidazole,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Acetaldehyde,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Acetamide,True,BD117;BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,Acetone,True,BD117;BD145
Aliphatic,relaxed,Acrylamide,True,BD117;BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,Acrylonitrile,True,BD127;BD145
Aliphatic,relaxed,Aziridine,True,BD117;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,BHC,True,BD127;BD145;BD67
Aliphatic,relaxed,Bis(2-chloroethyl)ether,True,BD127;BD145;BD163
Aliphatic,relaxed,Chloral,True,BD163
Aliphatic,relaxed,Chloral hydrate,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
